Engine_RPM\Throttle,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000
10,420,415,412,411,413,417,425,435,449,465,485
20,371,366,363,362,363,368,375,386,399,416,435
30,329,324,321,320,322,326,334,344,358,374,394
40,295,290,287,286,287,292,299,310,323,340,359
50,268,263,260,259,261,265,273,283,297,313,333
60,249,244,241,240,242,246,254,264,278,294,314
70,238,233,230,229,230,235,242,253,266,283,302
80,234,229,226,225,227,231,239,249,263,279,299
90,237,232,229,228,229,234,241,252,265,282,301
100,245,240,237,236,238,242,250,260,274,290,310
